First 2 of SOC;SOC;Occupation;Generation;2007 Jobs;2013 Jobs;Job Change;% Job Change;2007 Share of All Jobs;2013 Share of All Jobs;Change in Share;
21;21-1012;Educational, Guidance, School, and Vocational Counselors;Millennial; 	58.961 ;62.369;3.408;6 %;25 %;26%;1%;
29;29-2032;Diagnostic Medical Sonographers;Millennial; 	14.814 ;18.210;3.396;23 %;30 %;30%;0%;
21;21-1015;Rehabilitation Counselors;Millennial; 	31.582 ;34.867;3.285;10 %;29 %;30%;1%;
29;29-1126;Respiratory Therapists;Millennial; 	28.876 ;32.131;3.255;11 %;27 %;27%;0%;
31;31-9097;Phlebotomists;Millennial; 	34.936 ;38.187;3.251;9 %;36 %;37%;1%;
13;13-1081;Logisticians;Millennial; 	31.701 ;34.911;3.210;10 %;28 %;27%; (1%);
39;39-9099;Personal Care and Service Workers, All Other;Millennial; 	28.640 ;31.814;3.174;11 %;29 %;30%;1%;
29;29-2081;Opticians, Dispensing;Millennial; 	16.557 ;19.658;3.101;19 %;28 %;29%;1%;
17;17-2171;Petroleum Engineers;Millennial; 	7.716 ;10.810;3.094;40 %;24 %;26%;2%;
29;29-1171;Nurse Practitioners;Millennial; 	19.338 ;22.352;3.014;16 %;20 %;20%; (0%);
49;49-9051;Electrical Power-Line Installers and Repairers;Millennial; 	33.068 ;36.051;2.983;9 %;29 %;31%;2%;
41;41-9041;Telemarketers;Millennial; 	107.579 ;110.543;2.964;3 %;39 %;41%;2%;
53;53-6031;Automotive and Watercraft Service Attendants;Millennial; 	35.509 ;38.444;2.935;8 %;32 %;34%;2%;
21;21-1011;Substance Abuse and Behavioral Disorder Counselors;Millennial; 	25.539 ;28.468;2.929;11 %;31 %;32%;1%;
47;47-5081;Helpers--Extraction Workers;Millennial; 	8.674 ;11.570;2.896;33 %;40 %;41%;1%;
43;43-9199;Office and Administrative Support Workers, All Other;Millennial; 	85.326 ;88.138;2.812;3 %;28 %;28%;0%;
53;53-3031;Driver/Sales Workers;Millennial; 	107.302 ;110.062;2.760;3 %;25 %;27%;2%;
39;39-5094;Skincare Specialists;Millennial; 	16.462 ;19.178;2.716;16 %;37 %;39%;2%;
39;39-3031;Ushers, Lobby Attendants, and Ticket Takers;Millennial; 	21.667 ;24.379;2.712;13 %;19 %;20%;1%;
13;13-1041;Compliance Officers;Millennial; 	49.275 ;51.962;2.687;5 %;22 %;22%; (0%);
29;29-2012;Medical and Clinical Laboratory Technicians;Millennial; 	45.939 ;48.571;2.632;6 %;30 %;30%; (0%);
21;21-1091;Health Educators ;Millennial; 	15.027 ;17.550;2.523;17 %;29 %;30%;1%;
33;33-9092;Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers;Millennial; 	21.085 ;23.586;2.501;12 %;16 %;17%;1%;
31;31-2011;Occupational Therapy Assistants;Millennial; 	9.244 ;11.647;2.403;26 %;36 %;38%;2%;
27;27-3031;Public Relations Specialists;Millennial; 	77.513 ;79.882;2.369;3 %;36 %;36%; (0%);
31;31-9099;Healthcare Support Workers, All Other;Millennial; 	31.331 ;33.551;2.220;7 %;30 %;31%;1%;
43;43-3021;Billing and Posting Clerks;Millennial; 	146.140 ;148.286;2.146;1 %;29 %;29%;0%;
29;29-2031;Cardiovascular Technologists and Technicians;Millennial; 	13.858 ;16.004;2.146;15 %;30 %;31%;1%;
39;39-5011;Barbers;Millennial; 	24.741 ;26.773;2.032;8 %;38 %;40%;2%;
53;53-3041;Taxi Drivers and Chauffeurs;Millennial; 	32.926 ;34.950;2.024;6 %;14 %;14%; (0%);
29;29-2011;Medical and Clinical Laboratory Technologists;Millennial; 	45.599 ;47.620;2.021;4 %;29 %;29%; (0%);
25;25-2052;Special Education Teachers, Kindergarten and Elementary School;Millennial; 	41.353 ;43.278;1.925;5 %;22 %;22%; (0%);
33;33-9093;Transportation Security Screeners;Millennial; 	10.633 ;12.527;1.894;18 %;24 %;24%;0%;
25;25-9031;Instructional Coordinators;Millennial; 	28.465 ;30.313;1.848;6 %;22 %;22%;0%;
15;15-1141;Database Administrators;Millennial; 	26.803 ;28.646;1.843;7 %;25 %;24%; (1%);
21;21-1013;Marriage and Family Therapists;Millennial; 	10.421 ;12.179;1.758;17 %;29 %;30%;1%;
43;43-4121;Library Assistants, Clerical;Millennial; 	28.149 ;29.857;1.708;6 %;23 %;23%;0%;
25;25-2011;Preschool Teachers, Except Special Education;Millennial; 	158.442 ;160.108;1.666;1 %;36 %;37%;1%;
43;43-4199;Information and Record Clerks, All Other;Millennial; 	49.821 ;51.457;1.636;3 %;26 %;26%; (0%);
53;53-7073;Wellhead Pumpers;Millennial; 	3.442 ;5.074;1.632;47 %;27 %;33%;6%;
49;49-9041;Industrial Machinery Mechanics;Millennial; 	56.747 ;58.338;1.591;3 %;18 %;18%; (0%);
29;29-1131;Veterinarians;Millennial; 	18.479 ;20.067;1.588;9 %;28 %;29%;1%;
25;25-4031;Library Technicians;Millennial; 	27.024 ;28.568;1.544;6 %;22 %;23%;1%;
29;29-1031;Dietitians and Nutritionists;Millennial; 	15.899 ;17.438;1.539;10 %;26 %;26%; (0%);
13;13-1131;Fundraisers;Millennial; 	19.032 ;20.565;1.533;8 %;27 %;29%;2%;
17;17-2031;Biomedical Engineers;Millennial; 	5.971 ;7.503;1.532;26 %;38 %;35%; (3%);
25;25-2012;Kindergarten Teachers, Except Special Education;Millennial; 	37.377 ;38.880;1.503;4 %;24 %;25%;1%;
11;11-9033;Education Administrators, Postsecondary;Millennial; 	25.022 ;26.519;1.497;6 %;22 %;22%;0%;
29;29-2057;Ophthalmic Medical Technicians;Millennial; 	10.351 ;11.810;1.459;14 %;38 %;39%;1%;
29;29-1062;Family and General Practitioners;Millennial; 	18.554 ;20.004;1.450;8 %;15 %;16%;1%;
31;31-9093;Medical Equipment Preparers;Millennial; 	15.305 ;16.699;1.394;9 %;31 %;32%;1%;
19;19-2042;Geoscientists, Except Hydrologists and Geographers;Millennial; 	10.146 ;11.540;1.394;14 %;29 %;30%;1%;
15;15-1151;Computer User Support Specialists;Millennial; 	195.855 ;197.246;1.391;1 %;34 %;33%; (1%);
35;35-1011;Chefs and Head Cooks;Millennial; 	33.897 ;35.277;1.380;4 %;31 %;32%;1%;
31;31-1015;Orderlies;Millennial; 	16.514 ;17.887;1.373;8 %;30 %;31%;1%;
11;11-9151;Social and Community Service Managers;Millennial; 	25.839 ;27.198;1.359;5 %;20 %;20%; (0%);
19;19-4021;Biological Technicians;Millennial; 	23.694 ;25.019;1.325;6 %;34 %;33%; (1%);
19;19-2041;Environmental Scientists and Specialists, Including Health;Millennial; 	25.275 ;26.593;1.318;5 %;30 %;30%;0%;
45;45-2091;Agricultural Equipment Operators;Millennial; 	19.614 ;20.896;1.282;7 %;31 %;32%;1%;
33;33-3021;Detectives and Criminal Investigators;Millennial; 	24.691 ;25.944;1.253;5 %;23 %;23%;0%;
29;29-2035;Magnetic Resonance Imaging Technologists;Millennial; 	8.024 ;9.270;1.246;16 %;30 %;30%;0%;
33;33-9099;Protective Service Workers, All Other;Millennial; 	18.143 ;19.377;1.234;7 %;21 %;22%;1%;
29;29-9099;Healthcare Practitioners and Technical Workers, All Other;Millennial; 	14.689 ;15.900;1.211;8 %;31 %;32%;1%;
49;49-2098;Security and Fire Alarm Systems Installers;Millennial; 	19.314 ;20.509;1.195;6 %;32 %;34%;2%;
51;51-2011;Aircraft Structure, Surfaces, Rigging, and Systems Assemblers;Millennial; 	7.544 ;8.724;1.180;16 %;20 %;21%;1%;
35;35-2019;Cooks, All Other;Millennial; 	6.512 ;7.691;1.179;18 %;25 %;27%;2%;
21;21-1099;Community and Social Service Specialists, All Other;Millennial; 	27.736 ;28.901;1.165;4 %;27 %;28%;1%;
51;51-8093;Petroleum Pump System Operators, Refinery Operators, and Gaugers;Millennial; 	7.295 ;8.457;1.162;16 %;18 %;19%;1%;
21;21-1094;Community Health Workers;Millennial; 	11.212 ;12.351;1.139;10 %;30 %;31%;1%;
29;29-1041;Optometrists;Millennial; 	9.692 ;10.821;1.129;12 %;27 %;29%;2%;
31;31-9095;Pharmacy Aides;Millennial; 	16.608 ;17.728;1.120;7 %;37 %;40%;3%;
11;11-9051;Food Service Managers;Millennial; 	85.614 ;86.721;1.107;1 %;29 %;31%;2%;
49;49-3091;Bicycle Repairers;Millennial; 	4.461 ;5.505;1.044;23 %;43 %;51%;8%;
29;29-1199;Health Diagnosing and Treating Practitioners, All Other;Millennial; 	7.390 ;8.403;1.013;14 %;19 %;20%;1%;
47;47-5099;Extraction Workers, All Other;Millennial; 	3.112 ;4.106;994;32 %;40 %;44%;4%;
21;21-1021;Child, Family, and School Social Workers;Millennial; 	78.397 ;79.385;988;1 %;27 %;27%;0%;
19;19-3099;Social Scientists and Related Workers, All Other;Millennial; 	9.374 ;10.343;969;10 %;31 %;30%; (1%);
27;27-3012;Public Address System and Other Announcers;Millennial; 	5.896 ;6.861;965;16 %;39 %;39%; (0%);
29;29-9091;Athletic Trainers;Millennial; 	6.681 ;7.637;956;14 %;35 %;36%;1%;
29;29-1181;Audiologists;Millennial; 	4.356 ;5.298;942;22 %;41 %;41%;0%;
35;35-9099;Food Preparation and Serving Related Workers, All Other;Millennial; 	10.253 ;11.193;940;9 %;24 %;27%;3%;
25;25-9099;Education, Training, and Library Workers, All Other;Millennial; 	22.555 ;23.491;936;4 %;22 %;23%;1%;
29;29-2051;Dietetic Technicians;Millennial; 	8.269 ;9.193;924;11 %;35 %;37%;2%;
29;29-1151;Nurse Anesthetists;Millennial; 	5.750 ;6.666;916;16 %;19 %;18%; (1%);
27;27-2011;Actors;Millennial; 	35.727 ;36.605;878;2 %;40 %;42%;2%;
45;45-2041;Graders and Sorters, Agricultural Products;Millennial; 	14.204 ;15.071;867;6 %;24 %;25%;1%;
27;27-2021;Athletes and Sports Competitors;Millennial; 	6.794 ;7.655;861;13 %;39 %;42%;3%;
29;29-2053;Psychiatric Technicians;Millennial; 	20.795 ;21.653;858;4 %;30 %;31%;1%;
25;25-3011;Adult Basic and Secondary Education and Literacy Teachers and Instructors ;Millennial; 	17.594 ;18.435;841;5 %;24 %;24%;0%;
19;19-3031;Clinical, Counseling, and School Psychologists;Millennial; 	23.873 ;24.708;835;3 %;16 %;16%; (0%);
47;47-5041;Continuous Mining Machine Operators;Millennial; 	3.181 ;4.014;833;26 %;26 %;28%;2%;
15;15-1121;Computer Systems Analysts;Millennial; 	149.455 ;150.277;822;1 %;30 %;28%; (2%);
51;51-3092;Food Batchmakers;Millennial; 	29.122 ;29.936;814;3 %;29 %;30%;1%;
37;37-2021;Pest Control Workers;Millennial; 	18.896 ;19.706;810;4 %;28 %;28%;0%;
51;51-9083;Ophthalmic Laboratory Technicians;Millennial; 	8.276 ;9.069;793;10 %;27 %;29%;2%;
27;27-2032;Choreographers;Millennial; 	5.543 ;6.336;793;14 %;71 %;72%;1%;
33;33-1099;First-Line Supervisors of Protective Service Workers, All Other;Millennial; 	13.553 ;14.330;777;6 %;22 %;23%;1%;
19;19-4041;Geological and Petroleum Technicians;Millennial; 	3.769 ;4.543;774;21 %;26 %;27%;1%;
29;29-1129;Therapists, All Other;Millennial; 	6.869 ;7.631;762;11 %;26 %;27%;1%;
53;53-7081;Refuse and Recyclable Material Collectors;Millennial; 	32.357 ;33.109;752;2 %;25 %;25%; (0%);
19;19-1021;Biochemists and Biophysicists;Millennial; 	9.555 ;10.299;744;8 %;38 %;36%; (2%);
39;39-2011;Animal Trainers;Millennial; 	8.572 ;9.294;722;8 %;26 %;27%;1%;
49;49-2095;Electrical and Electronics Repairers, Powerhouse, Substation, and Relay;Millennial; 	3.964 ;4.685;721;18 %;17 %;19%;2%;
39;39-3093;Locker Room, Coatroom, and Dressing Room Attendants;Millennial; 	4.220 ;4.940;720;17 %;21 %;24%;3%;
29;29-1063;Internists, General;Millennial; 	7.620 ;8.330;710;9 %;16 %;16%;0%;
53;53-3011;Ambulance Drivers and Attendants, Except Emergency Medical Technicians;Millennial; 	4.354 ;5.061;707;16 %;27 %;27%;0%;
53;53-7072;Pump Operators, Except Wellhead Pumpers;Millennial; 	3.425 ;4.125;700;20 %;28 %;30%;2%;
29;29-1067;Surgeons;Millennial; 	6.876 ;7.569;693;10 %;15 %;15%;0%;
17;17-3029;Engineering Technicians, Except Drafters, All Other;Millennial; 	14.325 ;15.008;683;5 %;22 %;22%;0%;
19;19-4091;Environmental Science and Protection Technicians, Including Health;Millennial; 	9.692 ;10.369;677;7 %;32 %;31%; (1%);
39;39-7011;Tour Guides and Escorts;Millennial; 	7.614 ;8.288;674;9 %;20 %;21%;1%;
13;13-2071;Credit Counselors;Millennial; 	10.269 ;10.939;670;7 %;38 %;38%;0%;
25;25-2053;Special Education Teachers, Middle School;Millennial; 	19.527 ;20.184;657;3 %;22 %;22%;1%;
51;51-8013;Power Plant Operators;Millennial; 	5.126 ;5.777;651;13 %;13 %;14%;1%;
27;27-2023;Umpires, Referees, and Other Sports Officials;Millennial; 	5.446 ;6.092;646;12 %;27 %;28%;1%;
49;49-3043;Rail Car Repairers;Millennial; 	4.095 ;4.741;646;16 %;21 %;22%;1%;
11;11-9039;Education Administrators, All Other;Millennial; 	6.728 ;7.369;641;10 %;21 %;22%;1%;
19;19-4099;Life, Physical, and Social Science Technicians, All Other;Millennial; 	18.236 ;18.873;637;3 %;32 %;32%; (0%);
29;29-1124;Radiation Therapists;Millennial; 	5.403 ;6.040;637;12 %;31 %;33%;2%;
33;33-9021;Private Detectives and Investigators;Millennial; 	7.377 ;8.004;627;8 %;22 %;24%;2%;
17;17-2161;Nuclear Engineers;Millennial; 	4.123 ;4.748;625;15 %;20 %;21%;1%;
15;15-2041;Statisticians;Millennial; 	8.087 ;8.708;621;8 %;32 %;32%; (0%);
31;31-2012;Occupational Therapy Aides;Millennial; 	2.917 ;3.535;618;21 %;39 %;41%;2%;
29;29-1125;Recreational Therapists;Millennial; 	5.504 ;6.112;608;11 %;29 %;31%;2%;
47;47-5061;Roof Bolters, Mining;Millennial; 	2.105 ;2.712;607;29 %;35 %;40%;5%;
19;19-3022;Survey Researchers;Millennial; 	7.817 ;8.406;589;8 %;44 %;44%; (0%);
29;29-1065;Pediatricians, General;Millennial; 	4.815 ;5.400;585;12 %;15 %;15%;0%;
31;31-1013;Psychiatric Aides;Millennial; 	22.447 ;23.018;571;3 %;28 %;29%;1%;
49;49-3041;Farm Equipment Mechanics and Service Technicians;Millennial; 	8.735 ;9.300;565;6 %;23 %;24%;1%;
31;31-9096;Veterinary Assistants and Laboratory Animal Caretakers;Millennial; 	32.454 ;33.009;555;2 %;40 %;41%;1%;
29;29-2033;Nuclear Medicine Technologists;Millennial; 	5.767 ;6.320;553;10 %;29 %;30%;1%;
45;45-3011;Fishers and Related Fishing Workers;Millennial; 	4.960 ;5.511;551;11 %;16 %;17%;1%;
13;13-2081;Tax Examiners and Collectors, and Revenue Agents;Millennial; 	14.458 ;14.993;535;4 %;22 %;22%;0%;
25;25-2051;Special Education Teachers, Preschool;Millennial; 	5.642 ;6.176;534;9 %;27 %;28%;1%;
51;51-9012;Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders;Millennial; 	9.329 ;9.852;523;6 %;22 %;23%;1%;
21;21-1029;Social Workers, All Other;Millennial; 	15.462 ;15.980;518;3 %;25 %;25%; (0%);
13;13-2031;Budget Analysts;Millennial; 	13.750 ;14.257;507;4 %;24 %;24%;0%;
53;53-2021;Air Traffic Controllers;Millennial; 	5.294 ;5.800;506;10 %;24 %;23%; (1%);
29;29-1061;Anesthesiologists;Millennial; 	4.590 ;5.073;483;11 %;14 %;15%;1%;
19;19-1013;Soil and Plant Scientists;Millennial; 	3.805 ;4.286;481;13 %;27 %;28%;1%;
49;49-9062;Medical Equipment Repairers;Millennial; 	8.328 ;8.807;479;6 %;24 %;23%; (1%);
21;21-1019;Counselors, All Other;Millennial; 	8.163 ;8.642;479;6 %;27 %;27%;0%;
53;53-4031;Railroad Conductors and Yardmasters;Millennial; 	10.503 ;10.978;475;5 %;24 %;24%;0%;
19;19-1029;Biological Scientists, All Other;Millennial; 	8.928 ;9.402;474;5 %;30 %;29%; (1%);
45;45-2093;Farmworkers, Farm, Ranch, and Aquacultural Animals;Millennial; 	24.856 ;25.329;473;2 %;32 %;32%;0%;
19;19-4093;Forest and Conservation Technicians;Millennial; 	7.493 ;7.966;473;6 %;24 %;24%;0%;
25;25-2059;Special Education Teachers, All Other;Millennial; 	9.649 ;10.108;459;5 %;24 %;25%;1%;
19;19-2099;Physical Scientists, All Other;Millennial; 	7.127 ;7.579;452;6 %;26 %;25%; (1%);
29;29-1128;Exercise Physiologists;Millennial; 	2.616 ;3.060;444;17 %;30 %;29%; (1%);
51;51-8092;Gas Plant Operators;Millennial; 	1.507 ;1.943;436;29 %;13 %;15%;2%;
25;25-4012;Curators;Millennial; 	2.323 ;2.744;421;18 %;25 %;26%;1%;
15;15-1111;Computer and Information Research Scientists;Millennial; 	7.470 ;7.885;415;6 %;30 %;29%; (1%);
15;15-1199;Computer Occupations, All Other;Millennial; 	55.357 ;55.753;396;1 %;28 %;28%;0%;
43;43-5031;Police, Fire, and Ambulance Dispatchers;Millennial; 	22.256 ;22.634;378;2 %;23 %;23%;0%;
29;29-2092;Hearing Aid Specialists;Millennial; 	1.798 ;2.174;376;21 %;36 %;39%;3%;
39;39-6011;Baggage Porters and Bellhops;Millennial; 	10.842 ;11.207;365;3 %;26 %;26%;0%;
49;49-9094;Locksmiths and Safe Repairers;Millennial; 	4.731 ;5.096;365;8 %;21 %;23%;2%;
43;43-5041;Meter Readers, Utilities;Millennial; 	9.869 ;10.233;364;4 %;25 %;25%;0%;
19;19-3039;Psychologists, All Other;Millennial; 	2.258 ;2.614;356;16 %;12 %;13%;1%;
39;39-3099;Entertainment Attendants and Related Workers, All Other;Millennial; 	2.493 ;2.836;343;14 %;19 %;20%;1%;
11;11-2031;Public Relations and Fundraising Managers;Millennial; 	12.700 ;13.035;335;3 %;23 %;23%;0%;
19;19-4061;Social Science Research Assistants;Millennial; 	9.776 ;10.102;326;3 %;36 %;36%;0%;
13;13-1011;Agents and Business Managers of Artists, Performers, and Athletes;Millennial; 	7.711 ;8.031;320;4 %;37 %;37%;0%;
47;47-5042;Mine Cutting and Channeling Machine Operators;Millennial; 	1.621 ;1.932;311;19 %;25 %;28%;3%;
39;39-3092;Costume Attendants;Millennial; 	1.268 ;1.576;308;24 %;22 %;25%;3%;
39;39-5091;Makeup Artists, Theatrical and Performance;Millennial; 	1.280 ;1.586;306;24 %;30 %;31%;1%;
53;53-4011;Locomotive Engineers;Millennial; 	6.074 ;6.372;298;5 %;16 %;16%;0%;
39;39-6012;Concierges;Millennial; 	6.283 ;6.577;294;5 %;24 %;24%;0%;
19;19-3094;Political Scientists;Millennial; 	2.246 ;2.534;288;13 %;36 %;36%; (0%);
37;37-3013;Tree Trimmers and Pruners;Millennial; 	19.516 ;19.803;287;1 %;30 %;30%; (0%);
21;21-1092;Probation Officers and Correctional Treatment Specialists;Millennial; 	19.080 ;19.367;287;2 %;22 %;21%; (1%);
51;51-3093;Food Cooking Machine Operators and Tenders;Millennial; 	8.685 ;8.972;287;3 %;26 %;27%;1%;
29;29-1066;Psychiatrists;Millennial; 	4.801 ;5.087;286;6 %;19 %;19%;0%;
29;29-2091;Orthotists and Prosthetists;Millennial; 	2.267 ;2.551;284;13 %;28 %;30%;2%;
51;51-3091;Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders;Millennial; 	4.414 ;4.694;280;6 %;21 %;23%;2%;
37;37-3019;Grounds Maintenance Workers, All Other;Millennial; 	5.093 ;5.371;278;5 %;25 %;25%;0%;
53;53-7071;Gas Compressor and Gas Pumping Station Operators;Millennial; 	726 ;997;271;37 %;17 %;22%;5%;
19;19-1023;Zoologists and Wildlife Biologists;Millennial; 	5.140 ;5.409;269;5 %;27 %;27%;0%;
17;17-2081;Environmental Engineers;Millennial; 	15.134 ;15.398;264;2 %;30 %;29%; (1%);
25;25-4011;Archivists;Millennial; 	1.186 ;1.447;261;22 %;23 %;25%;2%;
19;19-3011;Economists;Millennial; 	4.426 ;4.685;259;6 %;27 %;28%;1%;
45;45-2099;Agricultural Workers, All Other;Millennial; 	5.452 ;5.710;258;5 %;35 %;35%; (0%);
19;19-1031;Conservation Scientists;Millennial; 	4.375 ;4.619;244;6 %;21 %;22%;1%;
31;31-9094;Medical Transcriptionists;Millennial; 	22.452 ;22.692;240;1 %;28 %;27%; (1%);
51;51-8012;Power Distributors and Dispatchers;Millennial; 	1.379 ;1.609;230;17 %;12 %;14%;2%;
47;47-4041;Hazardous Materials Removal Workers;Millennial; 	12.722 ;12.948;226;2 %;34 %;34%; (0%);
27;27-2041;Music Directors and Composers;Millennial; 	13.210 ;13.435;225;2 %;19 %;19%; (0%);
29;29-9012;Occupational Health and Safety Technicians;Millennial; 	2.599 ;2.818;219;8 %;22 %;23%;1%;
47;47-5049;Mining Machine Operators, All Other;Millennial; 	768 ;985;217;28 %;30 %;34%;4%;
27;27-4032;Film and Video Editors;Millennial; 	8.862 ;9.070;208;2 %;32 %;32%; (0%);
15;15-2021;Mathematicians;Millennial; 	1.169 ;1.375;206;18 %;34 %;34%; (0%);
27;27-4099;Media and Communication Equipment Workers, All Other;Millennial; 	4.881 ;5.086;205;4 %;30 %;30%; (0%);
49;49-9081;Wind Turbine Service Technicians;Millennial; 	1.021 ;1.225;204;20 %;19 %;23%;4%;
19;19-2012;Physicists;Millennial; 	3.487 ;3.683;196;6 %;20 %;20%; (0%);
19;19-3091;Anthropologists and Archeologists;Millennial; 	2.201 ;2.397;196;9 %;36 %;35%; (1%);
51;51-8011;Nuclear Power Reactor Operators;Millennial; 	577 ;772;195;34 %;9 %;11%;2%;
15;15-2011;Actuaries;Millennial; 	7.944 ;8.135;191;2 %;37 %;36%; (1%);
29;29-1161;Nurse Midwives;Millennial; 	893 ;1.084;191;21 %;17 %;18%;1%;
47;47-5031;Explosives Workers, Ordnance Handling Experts, and Blasters;Millennial; 	2.191 ;2.379;188;9 %;34 %;35%;1%;
29;29-9092;Genetic Counselors;Millennial; 	873 ;1.061;188;22 %;46 %;45%; (1%);
21;21-2011;Clergy;Millennial; 	27.674 ;27.861;187;1 %;12 %;11%; (1%);
27;27-2099;Entertainers and Performers, Sports and Related Workers, All Other;Millennial; 	12.703 ;12.890;187;1 %;33 %;34%;1%;
19;19-2021;Atmospheric and Space Scientists;Millennial; 	2.961 ;3.148;187;6 %;30 %;29%; (1%);
25;25-4013;Museum Technicians and Conservators;Millennial; 	2.477 ;2.661;184;7 %;24 %;26%;2%;
49;49-9063;Musical Instrument Repairers and Tuners;Millennial; 	1.581 ;1.765;184;12 %;12 %;16%;4%;
37;37-2019;Building Cleaning Workers, All Other;Millennial; 	3.380 ;3.545;165;5 %;22 %;23%;1%;
19;19-4092;Forensic Science Technicians;Millennial; 	2.475 ;2.638;163;7 %;20 %;21%;1%;
53;53-6051;Transportation Inspectors;Millennial; 	4.820 ;4.978;158;3 %;20 %;19%; (1%);
11;11-9081;Lodging Managers;Millennial; 	9.897 ;10.054;157;2 %;20 %;25%;5%;
17;17-3025;Environmental Engineering Technicians;Millennial; 	4.332 ;4.487;155;4 %;24 %;23%; (1%);
53;53-7111;Mine Shuttle Car Operators;Millennial; 	836 ;991;155;19 %;29 %;32%;3%;
27;27-2031;Dancers;Millennial; 	11.274 ;11.422;148;1 %;67 %;68%;1%;
21;21-2099;Religious Workers, All Other;Millennial; 	8.183 ;8.323;140;2 %;14 %;14%;0%;
19;19-2043;Hydrologists;Millennial; 	2.071 ;2.211;140;7 %;30 %;29%; (1%);
13;13-2061;Financial Examiners;Millennial; 	6.786 ;6.920;134;2 %;25 %;23%; (2%);
53;53-4021;Railroad Brake, Signal, and Switch Operators;Millennial; 	6.090 ;6.218;128;2 %;23 %;23%; (0%);
19;19-4051;Nuclear Technicians;Millennial; 	1.272 ;1.399;127;10 %;16 %;16%; (0%);
19;19-1011;Animal Scientists;Millennial; 	751 ;870;119;16 %;30 %;32%;2%;
11;11-9121;Natural Sciences Managers;Millennial; 	9.026 ;9.143;117;1 %;19 %;18%; (1%);
19;19-4011;Agricultural and Food Science Technicians;Millennial; 	5.489 ;5.604;115;2 %;27 %;27%;0%;
53;53-7033;Loading Machine Operators, Underground Mining;Millennial; 	611 ;724;113;18 %;22 %;25%;3%;
25;25-9021;Farm and Home Management Advisors;Millennial; 	2.547 ;2.659;112;4 %;22 %;22%;0%;
49;49-9012;Control and Valve Installers and Repairers, Except Mechanical Door;Millennial; 	8.623 ;8.734;111;1 %;21 %;21%;0%;
39;39-3021;Motion Picture Projectionists;Millennial; 	4.223 ;4.332;109;3 %;48 %;54%;6%;
19;19-3041;Sociologists;Millennial; 	957 ;1.064;107;11 %;38 %;39%;1%;
39;39-3011;Gaming Dealers;Millennial; 	25.785 ;25.889;104;0 %;25 %;25%; (0%);
47;47-4061;Rail-Track Laying and Maintenance Equipment Operators;Millennial; 	3.672 ;3.774;102;3 %;21 %;21%;0%;
19;19-1041;Epidemiologists;Millennial; 	1.111 ;1.212;101;9 %;22 %;23%;1%;
19;19-3093;Historians;Millennial; 	874 ;973;99;11 %;21 %;23%;2%;
39;39-3012;Gaming and Sports Book Writers and Runners;Millennial; 	3.287 ;3.384;97;3 %;21 %;22%;1%;
21;21-2021;Directors, Religious Activities and Education;Millennial; 	19.939 ;20.033;94;0 %;15 %;15%; (0%);
29;29-9011;Occupational Health and Safety Specialists;Millennial; 	14.514 ;14.607;93;1 %;24 %;24%;0%;
25;25-4021;Librarians;Millennial; 	28.616 ;28.705;89;0 %;21 %;20%; (1%);
45;45-2011;Agricultural Inspectors;Millennial; 	2.484 ;2.573;89;4 %;17 %;17%;0%;
17;17-2151;Mining and Geological Engineers, Including Mining Safety Engineers;Millennial; 	2.173 ;2.262;89;4 %;27 %;28%;1%;
33;33-3041;Parking Enforcement Workers;Millennial; 	2.058 ;2.143;85;4 %;19 %;19%; (0%);
19;19-3092;Geographers;Millennial; 	409 ;494;85;21 %;29 %;29%;0%;
33;33-9031;Gaming Surveillance Officers and Gaming Investigators;Millennial; 	2.266 ;2.345;79;3 %;23 %;24%;1%;
53;53-6011;Bridge and Lock Tenders;Millennial; 	528 ;594;66;13 %;15 %;15%;0%;
27;27-4011;Audio and Video Equipment Technicians;Millennial; 	27.323 ;27.387;64;0 %;38 %;38%;0%;
33;33-9011;Animal Control Workers;Millennial; 	2.769 ;2.831;62;2 %;20 %;20%;0%;
15;15-2099;Mathematical Science Occupations, All Other;Millennial; 	560 ;619;59;11 %;41 %;40%; (1%);
17;17-2121;Marine Engineers and Naval Architects;Millennial; 	1.853 ;1.910;57;3 %;24 %;24%; (0%);
25;25-9011;Audio-Visual and Multimedia Collections Specialists;Millennial; 	1.557 ;1.612;55;4 %;17 %;17%;0%;
19;19-1099;Life Scientists, All Other;Millennial; 	2.287 ;2.338;51;2 %;25 %;25%;0%;
29;29-1029;Dentists, All Other Specialists;Millennial; 	1.294 ;1.344;50;4 %;20 %;21%;1%;
47;47-5021;Earth Drillers, Except Oil and Gas;Millennial; 	7.819 ;7.866;47;1 %;38 %;38%; (0%);
45;45-3021;Hunters and Trappers;Millennial; 	284 ;329;45;16 %;14 %;15%;1%;
35;35-2013;Cooks, Private Household;Millennial; 	241 ;286;45;19 %;13 %;14%;1%;
27;27-1019;Artists and Related Workers, All Other;Millennial; 	2.838 ;2.880;42;1 %;20 %;21%;1%;
11;11-9161;Emergency Management Directors;Millennial; 	1.408 ;1.446;38;3 %;15 %;15%; (0%);
13;13-1074;Farm Labor Contractors;Millennial; 	264 ;302;38;14 %;19 %;18%; (1%);
